name,trait,condition,checkpoint,position,layer,depth_frac,target,rank,logprob
Maria,generous,direct,distance_4_filler_end,91,28,0.8484848484848485,'generous' (leading-space),11304,-28.43585777282715
Maria,generous,direct,distance_5_filler_end,109,28,0.8484848484848485,'generous' (leading-space),16723,-23.318496704101562
Maria,generous,direct,distance_6_filler_end,126,28,0.8484848484848485,'generous' (leading-space),11497,-22.631200790405273
Maria,generous,direct,distance_7_filler_end,143,28,0.8484848484848485,'generous' (leading-space),8809,-27.682743072509766
Maria,generous,direct,distance_8_filler_end,163,28,0.8484848484848485,'generous' (leading-space),14039,-23.206865310668945
Maria,generous,direct,distance_9_filler_end,178,28,0.8484848484848485,'generous' (leading-space),16126,-23.395212173461914
Maria,generous,direct,distance_10_filler_end,198,28,0.8484848484848485,'generous' (leading-space),13582,-22.797883987426758
Maria,generous,direct,reintro_sentence_end,209,28,0.8484848484848485,'generous' (leading-space),32113,-41.977630615234375
Maria,generous,direct,reintro_entity_mention,203,28,0.8484848484848485,'generous' (leading-space),13197,-40.34479522705078
Maria,generous,direct,distance_0_trigger_end,16,29,0.8787878787878788,'generous' (leading-space),112,-22.898468017578125
Maria,generous,direct,distance_1_filler_end,36,29,0.8787878787878788,'generous' (leading-space),24232,-29.58380889892578
Maria,generous,direct,distance_2_filler_end,57,29,0.8787878787878788,'generous' (leading-space),15965,-27.430423736572266
Maria,generous,direct,distance_3_filler_end,72,29,0.8787878787878788,'generous' (leading-space),19647,-23.4394474029541
Maria,generous,direct,distance_4_filler_end,91,29,0.8787878787878788,'generous' (leading-space),13941,-25.541099548339844
Maria,generous,direct,distance_5_filler_end,109,29,0.8787878787878788,'generous' (leading-space),19099,-30.235525131225586
Maria,generous,direct,distance_6_filler_end,126,29,0.8787878787878788,'generous' (leading-space),13617,-32.43801498413086
Maria,generous,direct,distance_7_filler_end,143,29,0.8787878787878788,'generous' (leading-space),11387,-26.13031768798828
Maria,generous,direct,distance_8_filler_end,163,29,0.8787878787878788,'generous' (leading-space),17095,-21.99451446533203
Maria,generous,direct,distance_9_filler_end,178,29,0.8787878787878788,'generous' (leading-space),20160,-22.216691970825195
Maria,generous,direct,distance_10_filler_end,198,29,0.8787878787878788,'generous' (leading-space),17591,-23.72124481201172
